WorkloadId,Status,Instance,Region,Mode,Created,Completed,QPU,Usage (seconds),User,Tags,Account
d97q508tcv6s73dl9fv0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/8fd6ad12bccb4470bdbdbf3df0f65389:3a1a1f3e-2262-4790-867a-fe146c2f7f2d::,us-east,job,2026-07-09T13:30:41.632Z,2026-07-09T13:37:43.689Z,ibm_fez,4,Javier Romero Álvarez,,8fd6ad12bccb4470bdbdbf3df0f65389
d97q2gaf47jc73a72qbg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/8fd6ad12bccb4470bdbdbf3df0f65389:3a1a1f3e-2262-4790-867a-fe146c2f7f2d::,us-east,job,2026-07-09T13:25:21.532Z,2026-07-09T13:25:37.404Z,ibm_fez,4,Javier Romero Álvarez,,8fd6ad12bccb4470bdbdbf3df0f65389
d97q000tcv6s73dl98v0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/8fd6ad12bccb4470bdbdbf3df0f65389:3a1a1f3e-2262-4790-867a-fe146c2f7f2d::,us-east,job,2026-07-09T13:20:00.149Z,2026-07-09T13:20:19.460Z,ibm_fez,4,Javier Romero Álvarez,,8fd6ad12bccb4470bdbdbf3df0f65389
d97ptet2su3c739ie1i0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/8fd6ad12bccb4470bdbdbf3df0f65389:3a1a1f3e-2262-4790-867a-fe146c2f7f2d::,us-east,job,2026-07-09T13:14:35.570Z,2026-07-09T13:14:51.116Z,ibm_fez,4,Javier Romero Álvarez,,8fd6ad12bccb4470bdbdbf3df0f65389
d97ppvkqp3as739s34j0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/8fd6ad12bccb4470bdbdbf3df0f65389:3a1a1f3e-2262-4790-867a-fe146c2f7f2d::,us-east,job,2026-07-09T13:07:10.567Z,2026-07-09T13:09:27.551Z,ibm_fez,4,Javier Romero Álvarez,,8fd6ad12bccb4470bdbdbf3df0f65389
d97pnf8tcv6s73dl8tu0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/8fd6ad12bccb4470bdbdbf3df0f65389:3a1a1f3e-2262-4790-867a-fe146c2f7f2d::,us-east,job,2026-07-09T13:01:49.609Z,2026-07-09T13:02:04.823Z,ibm_fez,4,Javier Romero Álvarez,,8fd6ad12bccb4470bdbdbf3df0f65389
d97pjokqp3as739s2ttg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/8fd6ad12bccb4470bdbdbf3df0f65389:3a1a1f3e-2262-4790-867a-fe146c2f7f2d::,us-east,job,2026-07-09T12:53:54.861Z,2026-07-09T12:56:49.286Z,ibm_fez,4,Javier Romero Álvarez,,8fd6ad12bccb4470bdbdbf3df0f65389
d97pgg2f47jc73a724g0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/8fd6ad12bccb4470bdbdbf3df0f65389:3a1a1f3e-2262-4790-867a-fe146c2f7f2d::,us-east,job,2026-07-09T12:46:56.385Z,2026-07-09T12:48:52.852Z,ibm_fez,4,Javier Romero Álvarez,,8fd6ad12bccb4470bdbdbf3df0f65389
d97pds52su3c739idgpg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/8fd6ad12bccb4470bdbdbf3df0f65389:3a1a1f3e-2262-4790-867a-fe146c2f7f2d::,us-east,job,2026-07-09T12:41:20.331Z,2026-07-09T12:41:52.008Z,ibm_fez,4,Javier Romero Álvarez,,8fd6ad12bccb4470bdbdbf3df0f65389
d97p4h0tcv6s73dl8ac0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/8fd6ad12bccb4470bdbdbf3df0f65389:3a1a1f3e-2262-4790-867a-fe146c2f7f2d::,us-east,job,2026-07-09T12:21:24.543Z,2026-07-09T12:36:15.260Z,ibm_fez,4,Javier Romero Álvarez,,8fd6ad12bccb4470bdbdbf3df0f65389
d97p200tcv6s73dl86sg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/8fd6ad12bccb4470bdbdbf3df0f65389:3a1a1f3e-2262-4790-867a-fe146c2f7f2d::,us-east,job,2026-07-09T12:16:00.958Z,2026-07-09T12:16:21.020Z,ibm_fez,4,Javier Romero Álvarez,,8fd6ad12bccb4470bdbdbf3df0f65389
d97ovgcqp3as739s28bg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/8fd6ad12bccb4470bdbdbf3df0f65389:3a1a1f3e-2262-4790-867a-fe146c2f7f2d::,us-east,job,2026-07-09T12:10:41.976Z,2026-07-09T12:10:58.937Z,ibm_fez,4,Javier Romero Álvarez,,8fd6ad12bccb4470bdbdbf3df0f65389
d97osut2su3c739icu70,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/8fd6ad12bccb4470bdbdbf3df0f65389:3a1a1f3e-2262-4790-867a-fe146c2f7f2d::,us-east,job,2026-07-09T12:05:15.689Z,2026-07-09T12:05:39.573Z,ibm_fez,4,Javier Romero Álvarez,,8fd6ad12bccb4470bdbdbf3df0f65389
d97oqecqp3as739s219g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/8fd6ad12bccb4470bdbdbf3df0f65389:3a1a1f3e-2262-4790-867a-fe146c2f7f2d::,us-east,job,2026-07-09T11:59:53.920Z,2026-07-09T12:00:10.437Z,ibm_fez,4,Javier Romero Álvarez,,8fd6ad12bccb4470bdbdbf3df0f65389
